timestep,other/elapsed_time,other/episode,other/replay,other/speed,other/step,other/train_step,score/num_success,score/score
5000,464.24,25,45,10.77,5000,2499,14,0.00
10000,463.74,50,70,10.78,10000,4999,14,0.00
15000,466.17,75,95,10.73,15000,7499,16,0.00
20000,461.85,100,120,10.83,20000,9999,16,0.00
25000,465.17,126,146,10.75,25000,12499,20,0.00
30000,465.05,152,172,10.75,30000,14999,22,0.26
35000,472.95,183,203,10.57,35000,17499,37,0.44
40000,469.88,213,233,10.64,40000,19999,48,0.50
45000,479.30,249,269,10.43,45000,22499,71,0.62
50000,491.97,291,311,10.16,50000,24999,102,0.76
55000,497.28,335,355,10.05,55000,27499,138,0.62
60000,529.95,379,399,9.43,60000,29999,171,0.84
65000,515.36,419,439,9.70,65000,32499,199,0.92
70000,535.50,471,491,9.34,70000,34999,244,0.84
75000,542.97,527,547,9.21,75000,37499,296,0.92
80000,529.57,574,594,9.44,80000,39999,334,0.92
85000,543.81,631,651,9.19,85000,42499,386,0.82
90000,539.02,684,704,9.28,90000,44999,432,0.96
95000,554.97,748,768,9.01,95000,47499,492,0.96
100000,544.29,808,828,9.19,100000,49999,548,0.98
105000,539.54,863,883,9.27,105000,52499,595,0.94
110000,564.61,929,949,8.86,110000,54999,659,0.98
115000,548.56,994,1000,9.11,115000,57499,720,0.98
120000,555.82,1061,1000,9.00,120000,59999,785,1.00
125000,548.76,1124,1000,9.11,125000,62499,844,0.96
130000,565.93,1197,1000,8.84,130000,64999,916,0.96
135000,559.18,1267,1000,8.94,135000,67499,983,0.92
140000,544.22,1328,1000,9.19,140000,69999,1039,0.86
145000,550.88,1392,1000,9.08,145000,72499,1096,0.80
150000,552.35,1459,1000,9.05,150000,74999,1159,0.94
155000,557.45,1529,1000,8.97,155000,77499,1225,0.92
160000,533.17,1584,1000,9.38,160000,79999,1270,0.82
165000,561.80,1655,1000,8.90,165000,82499,1337,1.00
170000,542.89,1716,1001,9.21,170000,84999,1391,0.86
175000,559.65,1787,1000,8.93,175000,87499,1458,0.98
180000,548.95,1849,1000,9.11,180000,89999,1512,0.96
185000,569.84,1925,1000,8.77,185000,92499,1585,0.86
190000,541.47,1984,1001,9.23,190000,94999,1635,0.82
195000,545.78,2046,1000,9.16,195000,97499,1689,0.98
200000,553.90,2112,1000,9.03,200000,99999,1747,0.92
