timestep,other/elapsed_time,other/episode,other/replay,other/speed,other/step,other/train_step,score/num_success,score/score
5000,221.71,50,100,22.55,5000,2499,29,0.00
10000,277.54,101,151,18.02,10000,4999,35,0.00
15000,336.34,154,204,14.87,15000,7499,44,0.05
20000,337.76,206,256,14.80,20000,9999,50,0.00
25000,330.55,256,306,15.13,25000,12499,53,0.05
30000,334.89,316,366,14.93,30000,14999,86,0.95
35000,336.23,390,440,14.87,35000,17499,140,1.00
40000,335.82,481,501,14.89,40000,19999,229,0.90
45000,357.53,568,500,13.98,45000,22499,312,0.95
50000,356.27,659,500,14.03,50000,24999,402,0.30
55000,361.89,754,500,13.82,55000,27499,495,0.30
60000,356.61,853,500,14.02,60000,29999,590,0.00
65000,355.27,952,500,14.07,65000,32499,684,0.00
70000,354.88,1053,501,14.09,70000,34999,778,0.05
75000,354.47,1161,501,14.11,75000,37499,884,0.10
80000,360.82,1267,500,13.86,80000,39999,985,0.00
85000,367.40,1378,500,13.61,85000,42499,1095,0.00
90000,361.18,1485,500,13.84,90000,44999,1198,0.05
95000,362.05,1595,500,13.81,95000,47499,1304,0.00
100000,355.83,1705,500,14.05,100000,49999,1410,0.00
105000,353.40,1821,500,14.15,105000,52499,1525,0.00
110000,356.77,1935,500,14.01,110000,54999,1636,0.45
115000,350.90,2048,500,14.25,115000,57499,1746,0.15
120000,355.27,2162,500,14.07,120000,59999,1858,0.25
125000,353.04,2273,500,14.16,125000,62499,1965,0.00
130000,371.56,2389,500,13.46,130000,64999,2079,0.00
135000,378.11,2504,500,13.22,135000,67499,2190,0.00
