timestep,other/elapsed_time,other/episode,other/replay,other/speed,other/step,other/train_step,score/num_success,score/score
5000,345.57,50,100,14.47,5000,2499,33,0.00
10000,336.50,100,150,14.86,10000,4999,35,0.00
15000,334.71,152,202,14.94,15000,7499,42,0.05
20000,330.02,203,253,15.15,20000,9999,48,0.80
25000,330.60,258,308,15.12,25000,12499,84,0.10
30000,330.31,312,362,15.14,30000,14999,115,0.80
35000,331.26,372,422,15.09,35000,17499,164,0.95
40000,331.48,430,480,15.08,40000,19999,213,0.80
45000,337.02,488,500,14.84,45000,22499,263,0.50
50000,558.47,560,500,8.95,50000,24999,333,0.40
55000,559.24,637,500,8.94,55000,27499,408,0.05
60000,514.20,721,500,9.72,60000,29999,489,0.75
