timestep,other/elapsed_time,other/episode,other/replay,other/speed,other/step,other/train_step,score/num_success,score/score
5000,333.22,51,101,15.01,5000,2499,26,0.05
10000,333.75,103,153,14.98,10000,4999,31,0.00
15000,328.66,157,207,15.21,15000,7499,41,0.20
20000,330.93,217,267,15.11,20000,9999,65,0.20
25000,341.82,274,324,14.63,25000,12499,83,0.10
30000,337.08,331,381,14.83,30000,14999,99,0.05
35000,353.57,390,440,14.14,35000,17499,120,0.75
40000,354.94,450,500,14.09,40000,19999,144,0.75
45000,358.36,512,500,13.95,45000,22499,173,0.60
50000,354.06,575,500,14.12,50000,24999,203,0.25
55000,352.99,643,500,14.16,55000,27499,243,0.95
60000,350.32,703,500,14.27,60000,29999,266,0.25
65000,353.79,769,500,14.13,65000,32499,302,0.45
70000,360.77,835,500,13.86,70000,34999,342,0.05
75000,364.90,901,500,13.70,75000,37499,377,0.15
80000,361.50,963,500,13.83,80000,39999,405,0.10
85000,364.10,1030,500,13.73,85000,42499,440,0.25
90000,358.39,1102,500,13.95,90000,44999,487,0.05
95000,354.66,1163,500,14.10,95000,47499,511,0.00
100000,352.25,1228,500,14.19,100000,49999,543,0.10
105000,349.64,1296,500,14.30,105000,52499,580,0.05
110000,352.18,1362,500,14.20,110000,54999,613,0.15
115000,349.11,1427,500,14.32,115000,57499,644,0.60
120000,366.31,1494,500,13.65,120000,59999,678,0.60
