timestep,other/elapsed_time,other/episode,other/replay,other/speed,other/step,other/train_step,score/num_success,score/score
5000,499.07,51,101,10.02,5000,2499,27,0.10
10000,495.35,116,166,10.09,10000,4999,57,0.05
15000,497.12,197,247,10.06,15000,7499,110,0.15
20000,497.98,285,335,10.04,20000,9999,173,0.05
25000,495.91,393,443,10.08,25000,12499,261,0.35
30000,498.98,522,500,10.02,30000,14999,380,0.30
35000,499.49,663,500,10.01,35000,17499,514,0.20
40000,361.35,824,500,13.84,40000,19999,672,0.45
45000,241.81,971,501,20.68,45000,22499,811,0.05
50000,240.00,1127,500,20.83,50000,24999,959,0.15
55000,237.66,1298,500,21.04,55000,27499,1128,0.20
60000,236.01,1444,500,21.19,60000,29999,1263,0.35
