timestep,other/elapsed_time,other/episode,other/replay,other/speed,other/step,other/train_step,score/num_success,score/score
5000,1188.53,51,101,4.21,5000,2499,28,0.00
10000,1228.78,121,171,4.07,10000,4999,66,0.05
15000,1216.80,214,264,4.11,15000,7499,134,0.50
20000,1206.36,332,382,4.14,20000,9999,239,0.30
25000,1197.37,472,500,4.18,25000,12499,370,0.00
30000,1169.03,612,500,4.28,30000,14999,503,0.70
35000,1207.48,753,500,4.14,35000,17499,635,0.35
40000,1231.24,905,501,4.06,40000,19999,782,0.35
45000,1277.43,1047,500,3.91,45000,22499,916,0.70
50000,1217.49,1210,500,4.11,50000,24999,1075,0.95
55000,1194.85,1372,501,4.18,55000,27499,1233,0.70
60000,1216.48,1534,500,4.11,60000,29999,1388,0.70
