timestep,other/elapsed_time,other/episode,other/replay,other/speed,other/step,other/train_step,score/num_success,score/score
5000,984.03,50,100,5.08,5000,2499,24,0.25
10000,1048.77,107,157,4.77,10000,4999,42,0.25
15000,1034.91,175,225,4.83,15000,7499,83,0.50
20000,1034.74,250,300,4.83,20000,9999,133,0.80
25000,1018.15,344,394,4.91,25000,12499,216,0.95
30000,1047.04,448,498,4.78,30000,14999,313,0.95
35000,1027.26,555,500,4.87,35000,17499,412,1.00
40000,1030.10,658,500,4.85,40000,19999,502,1.00
45000,1083.59,775,500,4.61,45000,22499,615,0.95
50000,1035.04,881,500,4.83,50000,24999,708,0.90
55000,1008.99,992,500,4.96,55000,27499,809,0.95
60000,1157.22,1116,500,4.32,60000,29999,924,1.00
