timestep,other/elapsed_time,other/episode,other/replay,other/speed,other/step,other/train_step,score/num_success,score/score
5000,328.38,52,102,15.23,5000,2499,32,0.05
10000,355.09,109,159,14.08,10000,4999,41,0.55
15000,352.04,186,236,14.20,15000,7499,81,0.80
20000,373.71,297,347,13.38,20000,9999,168,0.90
25000,353.58,439,489,14.14,25000,12499,297,0.85
30000,354.19,576,500,14.12,30000,14999,420,0.95
35000,353.13,724,500,14.16,35000,17499,553,0.85
40000,354.46,875,500,14.11,40000,19999,686,0.95
45000,354.70,1045,500,14.10,45000,22499,842,0.85
50000,354.84,1190,500,14.09,50000,24999,965,0.90
55000,354.98,1358,500,14.09,55000,27499,1117,1.00
60000,354.95,1533,500,14.09,60000,29999,1277,0.95
