timestep,other/elapsed_time,other/episode,other/replay,other/speed,other/step,other/train_step,score/num_success,score/score
5000,253.67,50,100,19.71,5000,2499,28,0.00
10000,248.58,100,150,20.11,10000,4999,30,0.25
15000,236.10,155,205,21.18,15000,7499,38,0.20
20000,239.28,214,264,20.90,20000,9999,54,0.55
25000,238.05,276,326,21.00,25000,12499,75,0.40
30000,249.66,340,390,20.03,30000,14999,103,0.50
35000,243.18,409,459,20.56,35000,17499,136,0.55
40000,243.85,474,500,20.50,40000,19999,162,0.65
45000,244.41,545,500,20.46,45000,22499,199,0.80
50000,248.20,615,500,20.15,50000,24999,233,0.85
55000,237.39,682,500,21.06,55000,27499,266,0.90
60000,234.94,750,500,21.28,60000,29999,297,0.65
