timestep,other/elapsed_time,other/episode,other/replay,other/speed,other/step,other/train_step,score/num_success,score/score
5000,382.55,50,100,13.07,5000,2499,27,0.05
10000,423.78,105,155,11.80,10000,4999,37,0.30
15000,423.31,177,227,11.81,15000,7499,76,0.65
20000,412.21,265,315,12.13,20000,9999,133,0.75
25000,399.02,379,429,12.53,25000,12499,230,0.80
30000,515.36,502,500,9.70,30000,14999,332,0.90
35000,515.54,628,500,9.70,35000,17499,436,0.75
40000,515.60,761,500,9.70,40000,19999,546,0.85
45000,515.79,890,500,9.69,45000,22499,652,0.90
50000,516.29,1035,500,9.68,50000,24999,778,0.90
55000,519.51,1178,500,9.62,55000,27499,901,0.80
60000,519.39,1311,500,9.63,60000,29999,1010,0.90
