timestep,other/elapsed_time,other/episode,other/replay,other/speed,other/step,other/train_step,score/num_success,score/score
5000,360.90,50,100,13.85,5000,2499,7,0.05
10000,356.10,100,150,14.04,10000,4999,7,0.00
15000,363.37,150,200,13.76,15000,7499,8,0.00
20000,366.80,203,253,13.63,20000,9999,16,0.30
25000,357.20,262,312,14.00,25000,12499,40,0.35
30000,355.96,324,374,14.05,30000,14999,67,0.60
35000,356.16,402,452,14.04,35000,17499,127,0.65
40000,357.68,497,500,13.98,40000,19999,215,0.90
45000,358.20,599,500,13.96,45000,22499,312,0.95
50000,358.07,708,501,13.96,50000,24999,418,0.95
55000,358.34,816,500,13.95,55000,27499,518,0.95
60000,268.98,919,500,18.59,60000,29999,611,0.95
