timestep,other/elapsed_time,other/episode,other/replay,other/speed,other/step,other/train_step,score/num_success,score/score
5000,240.59,50,100,20.78,5000,2499,8,0.00
10000,234.22,100,150,21.35,10000,4999,8,0.00
15000,236.57,150,200,21.14,15000,7499,8,0.00
20000,238.89,200,250,20.93,20000,9999,11,0.05
25000,238.63,251,301,20.95,25000,12499,14,0.00
30000,235.11,302,352,21.27,30000,14999,19,0.05
35000,238.07,352,402,21.00,35000,17499,24,0.20
40000,234.72,403,453,21.30,40000,19999,27,0.20
45000,236.32,454,500,21.16,45000,22499,31,0.05
50000,240.39,505,500,20.80,50000,24999,37,0.10
55000,242.42,557,500,20.63,55000,27499,51,0.05
60000,239.21,609,500,20.90,60000,29999,58,0.10
